,rating,playback_used,ebird_code,channels,date,duration,filename,species,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,bitrate_of_mp3,file_type,background,xc_id,url,country,author,primary_label,longitude,time,recordist,license,fpath
166,5.0,no,amecro,2 (stereo),2020-07-12,44,XC575220.mp3,American Crow,XC575220 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"South end of Lakeview Rd, Bloomington, Hennepin County, Minnesota",44.8398,44100 (Hz),call,260 m,173371 (bps),mp3,,575220,https://www.xeno-canto.org/575220,United States,Michael Hurben,Corvus brachyrhynchos_American Crow,-93.3786,06:00,Michael Hurben,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC575220.mp3
169,5.0,no,amecro,2 (stereo),2020-06-17,41,XC569711.mp3,American Crow,XC569711 American Crow (Corvus brachyrhynchos paulus),[],yes,Corvus brachyrhynchos,"Skidaway Island, Chatham County, GA USA",31.9237,48000 (Hz),call,0 m,125263 (bps),mp3,,569711,https://www.xeno-canto.org/569711,United States,Russ Wigh,Corvus brachyrhynchos_American Crow,-81.0559,15:00,Russ Wigh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC569711.mp3
171,5.0,no,amecro,1 (mono),2020-06-14,78,XC568365.mp3,American Crow,XC568365 American Crow (Corvus brachyrhynchos paulus),[],no,Corvus brachyrhynchos,"Skidaway Island, Chatham County, GA USA",31.9237,48000 (Hz),"adult, call, sex uncertain",0 m,94777 (bps),mp3,,568365,https://www.xeno-canto.org/568365,United States,Russ Wigh,Corvus brachyrhynchos_American Crow,-81.0559,07:00,Russ Wigh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC568365.mp3
173,5.0,no,amecro,2 (stereo),0000-00-00,52,XC561291.mp3,American Crow,XC561291 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Jamestown, Chautauqua County, New York",42.0807,44100 (Hz),"call, life stage uncertain, sex uncertain",460 m,128000 (bps),mp3,,561291,https://www.xeno-canto.org/561291,United States,Jim Berry,Corvus brachyrhynchos_American Crow,-79.2381,06:00,Jim Berry,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC561291.mp3
174,5.0,no,amecro,1 (mono),2019-04-18,13,XC556240.mp3,American Crow,XC556240 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,Hanna Park Campground,30.36422,48000 (Hz),canto,5 m,192000 (bps),mp3,,556240,https://www.xeno-canto.org/556240,United States,Caio Brito,Corvus brachyrhynchos_American Crow,-81.40509,18:35,Caio Brito,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC556240.mp3
177,5.0,no,amecro,1 (mono),2020-02-28,7,XC531008.mp3,American Crow,XC531008 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"San Simeon, San Luis Obispo County, California",35.6754,48000 (Hz),"adult, call",10 m,320000 (bps),mp3,,531008,https://www.xeno-canto.org/531008,United States,Thomas G. Graves,Corvus brachyrhynchos_American Crow,-121.2844,16:06,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC531008.mp3
179,5.0,no,amecro,2 (stereo),2019-12-24,108,XC513351.mp3,American Crow,XC513351 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Kansas Township (near  Carlock), Woodford County, Illinois",40.6276,48000 (Hz),"adult, call, sex uncertain",240 m,187216 (bps),mp3,,513351,https://www.xeno-canto.org/513351,United States,Phoenix Birder,Corvus brachyrhynchos_American Crow,-89.1095,13:00,Phoenix Birder,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC513351.mp3
184,4.0,no,amecro,1 (mono),2020-03-04,4,XC563629.mp3,American Crow,XC563629 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Gabriel Park, Multnomah County, Oregon",45.4727,48000 (Hz),"Bell-like ""GuguGoo"" call and Rattle call",110 m,128000 (bps),mp3,,563629,https://www.xeno-canto.org/563629,United States,Skip Russell,Corvus brachyrhynchos_American Crow,-122.7197,16:20,Skip Russell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC563629.mp3
185,4.0,no,amecro,2 (stereo),2020-03-08,19,XC533366.mp3,American Crow,XC533366 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Ross Township (near  Hamilton), Butler County, Ohio",39.3439,44100 (Hz),call,200 m,172577 (bps),mp3,,533366,https://www.xeno-canto.org/533366,United States,Joseph Keating,Corvus brachyrhynchos_American Crow,-84.6688,10:00,Joseph Keating,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC533366.mp3
186,4.0,no,amecro,1 (mono),2019-07-24,24,XC488886.mp3,American Crow,XC488886 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Hendrix Habitat - Fairview, Williamson County, Tennessee",35.986999999999995,44100 (Hz),call,260 m,98091 (bps),mp3,,488886,https://www.xeno-canto.org/488886,United States,Brian Hendrix,Corvus brachyrhynchos_American Crow,-87.145,07:30,Brian Hendrix,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC488886.mp3
187,4.0,no,amecro,2 (stereo),2019-06-07,22,XC479493.mp3,American Crow,XC479493 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Caroline (near  Brooktondale), Tompkins County, New York",42.3306,44100 (Hz),call,460 m,192000 (bps),mp3,,479493,https://www.xeno-canto.org/479493,United States,Meena Haribal,Corvus brachyrhynchos_American Crow,-76.3351,09:30,Meena Haribal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC479493.mp3
