,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6,Predicted_7,Predicted_8,Predicted_9,Predicted_10,Predicted_11
Actual_0,0,0,0,0,0,0,8,0,0,3,2,0
Actual_1,0,0,0,0,0,0,12,0,2,10,11,0
Actual_2,0,0,0,0,1,0,7,0,0,13,8,0
Actual_3,0,0,0,0,0,0,2,0,0,6,1,0
Actual_4,0,0,0,0,5,0,4,0,0,7,9,0
Actual_5,0,0,0,0,0,0,5,0,0,6,6,0
Actual_6,0,0,0,0,0,0,107,0,0,5,14,0
Actual_7,0,0,0,0,0,0,1,0,0,2,4,0
Actual_8,0,0,0,0,0,0,9,0,3,10,16,0
Actual_9,0,0,0,0,1,0,7,0,0,34,11,0
Actual_10,0,0,0,0,0,0,4,0,0,5,18,0
Actual_11,0,0,0,0,1,0,1,0,0,7,9,0
