,Predicted_0,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5,Predicted_6,Predicted_7,Predicted_8,Predicted_9,Predicted_10,Predicted_11
Actual_0,7,0,0,0,1,0,2,0,1,1,1,0
Actual_1,0,23,0,1,0,0,2,0,4,3,1,1
Actual_2,0,1,8,0,3,0,1,0,2,10,4,0
Actual_3,0,0,0,0,0,0,1,0,4,2,0,2
Actual_4,1,0,1,0,18,0,1,0,0,1,1,2
Actual_5,0,5,0,0,0,4,6,0,0,2,0,0
Actual_6,1,2,1,0,0,0,115,0,3,0,4,0
Actual_7,1,2,0,0,0,0,2,0,1,0,1,0
Actual_8,1,2,0,0,0,0,4,0,26,3,1,1
Actual_9,1,1,3,0,1,0,1,0,3,39,2,2
Actual_10,1,0,2,0,4,0,2,0,3,0,15,0
Actual_11,1,0,1,0,5,0,1,0,4,1,1,4
